genome_name,Completeness,completeness_score,Contamination,contamination_score,assembly_quality,N50_contigs,Longest_contig_bp,Winner_Completeness,winner_completeness_score,Winner_Contamination,winner_contamination_score,winner_assembly_quality,classification,Domain,Phylum,Class,Order,Family,Genus,Species,source,dRep,analysis_project_type,completeness_software,completeness_software_version,assembly_tool,assembly_tool_version,annotation_tool,annotation_tool_version,binning_software,binning_software_version
18O_day184_MH_18O_day184_MH_bin.168_renamed,94.93,High,4.57,High,High,40921,109837,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.16_renamed,61.85,Medium,5.17,Medium,Medium,6986,26828,63.31,Medium,6.23,Medium,Medium,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__Fen-1273;s__Fen-1273 sp003161955,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA6906,Fen-1273,Fen-1273 sp003161955,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.17_renamed,63.48,Medium,3.94,High,Medium,8769,29391,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.18_renamed,51.9,Medium,24.14,Low,Low,6484,39115,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.19_renamed,63.64,Medium,11.88,Low,Low,22201,98695,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Fen-1039;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Fen-1039,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.20_renamed,43.43,Low,11.21,Low,Low,3316,14638,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.21_renamed,79.31,Medium,49.4,Low,Low,9971,71279,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.22_renamed,98.22,High,0.82,High,High,28026,98994,100,High,0.7,High,High,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__GJ-E10;s__,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,GJ-E10,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.29_renamed,58.93,Medium,19.46,Low,Low,5529,25604,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.30_renamed,78.61,Medium,0.86,High,Medium,32414,165033,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.31_renamed,80.07,Medium,2.03,High,Medium,15290,86331,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__UBA11358;g__UBA11358;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,UBA11358,UBA11358,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.33_renamed,80.49,Medium,93.97,Low,Low,8543,57150,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Fen-1039;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Fen-1039,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.37_renamed,89.75,Medium,4.21,High,Medium,19009,72191,NA,NA,NA,NA,NA,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__JAUZPN01;s__,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,JAUZPN01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.39_renamed,90.65,High,8.71,Medium,Medium,23916,154775,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.40_renamed,84.93,Medium,5.94,Medium,Medium,13001,52699,70.35,Medium,6.01,Medium,Medium,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,CTSoil-043,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.41_renamed,52.59,Medium,2.59,High,Medium,21528,55557,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__,Bacteria,Actinomycetota,Thermoleophilia,UBA2241,UBA2241,Bog-752,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.42_renamed,77.39,Medium,10.92,Low,Low,7516,27181,NA,NA,NA,NA,NA,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA1306;s__,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Rectinemataceae,UBA1306,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.45_renamed,73.49,Medium,1.72,High,Medium,6457,25162,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae;g__CAITWD01;s__,Bacteria,Actinomycetota,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,CAITWD01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.46_renamed,49.14,Low,0,High,Low,5592,25878,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003162595,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,VadinHA17,LD21,LD21 sp003162595,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.4_renamed,50.61,Medium,3.64,High,Medium,81910,140530,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6107,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.50_renamed,80.47,Medium,3.24,High,Medium,10407,36022,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,CTSoil-043,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.52_renamed,64.43,Medium,2.59,High,Medium,6744,26114,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__CAIQPS01;s__,Bacteria,Actinomycetota,Thermoleophilia,RBG-16-64-13,RBG-16-64-13,CAIQPS01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.54_renamed,87.49,Medium,1.12,High,Medium,25478,86322,87.86,Medium,0.6,High,Medium,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Fen-668;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Fen-668,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.63_renamed,55.8,Medium,6.55,Medium,Medium,6245,24447,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Paludibacterium;s__,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Paludibacterium,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.64_renamed,89.97,Medium,65.22,Low,Low,5601,28398,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__FEN-672;s__FEN-672 sp003158705,Bacteria,Actinomycetota,Thermoleophilia,UBA2241,UBA2241,FEN-672,FEN-672 sp003158705,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.65_renamed,62.07,Medium,57.76,Low,Low,4147,17638,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,UBA4719,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.66_renamed,64.43,Medium,27.07,Low,Low,7377,31769,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.67_renamed,86.29,Medium,1.34,High,Medium,12005,43726,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,FEN-979,FEN-979,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.68_renamed,95.38,High,3.24,High,High,43954,138306,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Fen-668;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Fen-668,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.69_renamed,69,Medium,2.04,High,Medium,5580,25272,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.70_renamed,83.97,Medium,80.41,Low,Low,15358,71040,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Fen-1039;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Fen-1039,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.71_renamed,25,Low,8.33,Medium,Low,5042,36087,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.72_renamed,62.81,Medium,8.77,Medium,Medium,10982,52840,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.80_renamed,91.94,High,12.35,Low,Low,43671,170758,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.81_renamed,68.73,Medium,23.96,Low,Low,6061,22446,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.82_renamed,46.65,Low,7.02,Medium,Low,11677,49146,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1137;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1137,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.85_renamed,78.36,Medium,41.69,Low,Low,5079,24392,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__;s__,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.86_renamed,61.33,Medium,2.88,High,Medium,5542,21883,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.87_renamed,67.5,Medium,7.11,Medium,Medium,5442,23977,61.08,Medium,5.98,Medium,Medium,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.8_renamed,83.19,Medium,18.4,Low,Low,5042,21185,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Cellulomonas,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.90_renamed,89.84,Medium,3.01,High,Medium,17692,53773,91.16,High,1.08,High,High,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__Palsa-1400;g__CAIUEN01;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Palsa-1400,CAIUEN01,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.91_renamed,52.59,Medium,3.45,High,Medium,5506,18902,57.14,Medium,3.47,High,Medium,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-930;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,BOG-930,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.92_renamed,79.23,Medium,11.13,Low,Low,15585,52695,NA,NA,NA,NA,NA,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Propionispira;s__,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Propionispira,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.94_renamed,58.78,Medium,1.72,High,Medium,5891,17954,65.56,Medium,4.21,High,Medium,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__JAMDEO01;s__,Bacteria,Actinomycetota,Thermoleophilia,RBG-16-64-13,RBG-16-64-13,JAMDEO01,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.95_renamed,63.58,Medium,3.07,High,Medium,4236,16413,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Acidothermales;f__Acidothermaceae;g__PALSA-607;s__,Bacteria,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,PALSA-607,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.96_renamed,63.32,Medium,28.07,Low,Low,8336,30824,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1137;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1137,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.97_renamed,79.21,Medium,0.56,High,Medium,22612,51174,NA,NA,NA,NA,NA,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__;s__,Bacteria,Bacillota_I,Bacilli_A,RF39,UBA660,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.98_renamed,92.13,High,22.23,Low,Low,7277,41948,NA,NA,NA,NA,NA,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.99_renamed,69.84,Medium,2.13,High,Medium,7648,36605,NA,NA,NA,NA,NA,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__Fen-1364;g__Fen-1364;s__,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,Fen-1364,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day184_MH_18O_day184_MH_bin.9_renamed,92.57,High,2.25,High,High,38522,151332,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionicimonas;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionicimonas,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day370_MH_18O_day370_MH_bin.102_renamed,71.98,Medium,0.86,High,Medium,21166,61928,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003162055,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Fen-549,Fen-549 sp003162055,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day370_MH_18O_day370_MH_bin.105_renamed,98.06,High,6.7,Medium,Medium,23671,68127,NA,NA,NA,NA,NA,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Velthaea;s__,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,Velthaea,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
18O_day370_MH_18O_day370_MH_bin.106_renamed,94.91,High,6.52,Medium,Medium,49365,176133,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Fen-668;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Fen-668,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
